asin,Manufacturer,description,price,reviewsCount,stars,title,url
B07XH3TFVK,Amazon Brand - Eden & Ivy,,749,187,4.1,Amazon Brand - Eden & Ivy Aw-19 Women's Sling bag,https://www.amazon.in/dp/B07XH3TFVK
B084ZHP97M,DEIN KLEIDER,"Spacious and convenient, ideal for use as Messenger Bag.perfect product from DEIN KLEIDER for storing in your Objects to take with you for extra storage.",271,2913,4,DEIN KLEIDER Men's Nylon Messenger Bag,https://www.amazon.in/dp/B084ZHP97M
B08F7YYZTJ,DIVING DEEP,,391,1060,3.3,DIVING DEEP Women Backpack Latest School Bag for Girls (Black),https://www.amazon.in/dp/B08F7YYZTJ
B075Y72PHZ,Lenovo,,749,43166,4.2,Lenovo Casual Laptop Backpack B210 15.6-inch(39.6cm) Water Repellent Black,https://www.amazon.in/dp/B075Y72PHZ
B08R7J19R8,wooum,"Wooum 15.6"" Casual Laptop Backpack Shoulder Bag, Office Bag, College Backpack Computer Bag high School Student Business Bag",468,1454,4,Wooum 15.6 inch Laptop Bag Backpack Fashion Rucksack Casual Student School Bag Computer Bag College Bag Office Bag Business Bag Unisex Travel Backpack,https://www.amazon.in/dp/B08R7J19R8
B09H7PK5ML,TRUE HUMAN,,695,868,3.8,TRUE HUMAN Anti-Theft and USB Charging Port Backpack with Combination Lock Laptop Bag (Grey),https://www.amazon.in/dp/B09H7PK5ML
B07CJCFNZG,American Tourister,,999,10829,4.1,American Tourister Casual Backpack,https://www.amazon.in/dp/B07CJCFNZG
B084JGJ8PF,Wesley,,548,6593,4.3,Wesley Milestone 2.0 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Blue and Black),https://www.amazon.in/dp/B084JGJ8PF
B07PQQ8M7B,POLESTAR,,585,15695,4,"POLESTAR Noble 32 L College/ School/ Office/ Casual/ Travel Backpack with 15.6"" laptop compartment, made with polyester, 1 year warranty",https://www.amazon.in/dp/B07PQQ8M7B
B08678P2T7,Northzone,"NORTHZONE BACKPACK If you carry your laptop to and from work, then this laptop bag from Northzone will definitely make travelling easier. Compatibility This backpack can fit a 38.1 cm laptop comfortably. Compartments This bag has three spacious compartments to store the laptop, charger, external devices, and other accessories with ease. Pockets The two mesh pockets on either sides of this black and blue backpack allow you to store a water bottle, ID card and other knick-knacks, so you can access them easily.",599,3128,4.1,Northzone Lightweight School Bags Backpacks for Boys Girls Stylish Men and Women Casual Travel Laptop Bag College Office (Navy Blue) 40L,https://www.amazon.in/dp/B08678P2T7
